id	type	category	amount	date	external_transaction_id	desc_notes	created_at
370	expense	Feed	11350.00	2025-12-31	agri_poultry_expense_74	Legacy Feed Expense\n\nBatch 1 (Aug–Dec > 21wks): GHC 6,850  \nBatch 2 (Sep–Dec > 15wks): GHC 4,500	2026-03-30 20:11:57
371	expense	Medication	1100.00	2025-12-31	agri_poultry_expense_75	Legacy Expenses\nMedication & Vet (Aug–Dec): GHC 1,100	2026-03-30 20:13:02
375	expense	Other Expenses	71200.00	2025-12-31	agri_poultry_expense_79	POULTRY BUILDING COST BREAKDOWN\n\nMason workmanship — GHC 3,800  \nCarpenter workmanship — GHC 5,000  \nBattery Cage Materials & Workmanship — GHC 2,200  \nRoofing Sheets — GHC 13,000  \nWood for Roo	2026-03-30 20:33:31
74	expense	Other Expenses	70.00	2026-01-21	agri_poultry_expense_10	Transportation of water gallons	2026-03-15 08:21:18
87	expense	Feed	260.00	2026-02-28	agri_poultry_expense_23	Batch3 starter Feed	2026-03-15 08:21:20
93	expense	Feed	520.00	2026-02-28	agri_poultry_expense_29	Chicken feed (2 bags)	2026-03-15 08:21:21
96	expense	Medication	18.00	2026-02-28	agri_poultry_expense_32	Glucose for old birds	2026-03-15 08:21:21
75	expense	Other Expenses	60.00	2026-03-02	agri_poultry_expense_11	Bending wire	2026-03-15 08:21:18
76	expense	Other Expenses	40.00	2026-03-02	agri_poultry_expense_12	Polythene	2026-03-15 08:21:18
77	expense	Other Expenses	50.00	2026-03-02	agri_poultry_expense_13	Plastic bags	2026-03-15 08:21:19
78	expense	Feed	260.00	2026-03-02	agri_poultry_expense_14	Chicken feed	2026-03-15 08:21:19
79	expense	Other Expenses	100.00	2026-03-02	agri_poultry_expense_15	Plastic bags	2026-03-15 08:21:19
80	expense	Other Expenses	30.00	2026-03-02	agri_poultry_expense_16	Sawdust transport	2026-03-15 08:21:19
81	expense	Other Expenses	30.00	2026-03-02	agri_poultry_expense_17	Crutch wire	2026-03-15 08:21:19
82	expense	Other Expenses	35.00	2026-03-02	agri_poultry_expense_18	Electrical materials	2026-03-15 08:21:19
83	expense	Other Expenses	405.00	2026-03-02	agri_poultry_expense_19	Water tanker	2026-03-15 08:21:19
84	expense	Other Expenses	140.00	2026-03-02	agri_poultry_expense_20	Charcoal	2026-03-15 08:21:20
85	expense	Equipment	180.00	2026-03-02	agri_poultry_expense_21	Solar light	2026-03-15 08:21:20
86	expense	Other Expenses	105.00	2026-03-02	agri_poultry_expense_22	Plastic bags	2026-03-15 08:21:20
88	expense	Equipment	5.00	2026-03-02	agri_poultry_expense_24	Machete box	2026-03-15 08:21:20
89	expense	Equipment	20.00	2026-03-02	agri_poultry_expense_25	Bucket for fire	2026-03-15 08:21:20
90	expense	Equipment	85.00	2026-03-02	agri_poultry_expense_26	Drinker	2026-03-15 08:21:20
98	expense	Other Expenses	303.00	2026-03-02	agri_poultry_expense_34	Hope phone & bicycle repairs	2026-03-15 08:21:21
99	expense	Other Expenses	30.00	2026-03-02	agri_poultry_expense_35	Hope bike knoll & chain	2026-03-15 08:21:22
100	expense	Other Expenses	10.00	2026-03-02	agri_poultry_expense_36	Hope bike workmanship	2026-03-15 08:21:22
101	expense	Other Expenses	10.00	2026-03-02	agri_poultry_expense_37	Hope bike TNT	2026-03-15 08:21:22
91	expense	Labor	20.00	2026-03-03	agri_poultry_expense_27	Nose mask	2026-03-15 08:21:21
92	expense	Labor	30.00	2026-03-03	agri_poultry_expense_28	Gloves	2026-03-15 08:21:21
95	expense	Equipment	45.00	2026-03-03	agri_poultry_expense_31	Cutlass for farm	2026-03-15 08:21:21
97	expense	Labor	10.00	2026-03-03	agri_poultry_expense_33	Socks (Hope farm equipment)	2026-03-15 08:21:21
60	income	Egg Sales	45.00	2026-03-07	agri_egg_sale_3	Egg sale: 1 crate @ 45 per unit - Buyer: Hope Shola - He bought for personal use and Sent the Money via MoMo	2026-03-14 17:33:53
94	expense	Feed	260.00	2026-03-10	agri_poultry_expense_30	Poultry feed (3rd bag)	2026-03-15 08:21:21
55	expense	Medication	35.00	2026-03-12	agri_poultry_expense_4	Medication	2026-03-14 17:25:02
61	expense	Seeds	300.00	2026-03-12	agri_poultry_expense_7	Cassava Sticks\nGhc600 per Moto King	2026-03-14 18:06:31
54	expense	Feed	3070.00	2026-03-13	agri_poultry_expense_3	STARTER FEED , kudos formula	2026-03-14 17:23:40
56	expense	Other Expenses	560.00	2026-03-13	agri_poultry_expense_5	Wawa Board	2026-03-14 17:28:41
57	expense	Other Expenses	150.00	2026-03-13	agri_poultry_expense_6	TRANSPORTATION OF FEED AND WAWA WOOD	2026-03-14 17:30:22
58	income	Egg Sales	315.00	2026-03-13	agri_egg_sale_1	Egg sale: 7 crate @ 45 per unit - Buyer: HOPE SHOLLA - He bought 2 and Took 5 later	2026-03-14 17:31:54
63	expense	Other Expenses	125.00	2026-03-13	agri_poultry_expense_9	Transportation's ghc250	2026-03-14 18:16:35
59	income	Egg Sales	45.00	2026-03-14	agri_egg_sale_2	Egg sale: 1 crate @ 45 per unit - Buyer: Sister Mina - Gideon brought it to her	2026-03-14 17:32:41
62	expense	Other Expenses	505.00	2026-03-14	agri_poultry_expense_8	The1010 Weeding for clearing the land	2026-03-14 18:11:01
116	expense	Other Expenses	850.00	2026-03-18	agri_poultry_expense_38	10 Bags of Cement(gch750) and Transportation(ghc100)  for the flow	2026-03-18 20:52:45
117	expense	Feed	4880.00	2026-03-18	agri_poultry_expense_39	Feed for Batch 1 and 2 (GHC4780) + Transportation to Grinding Mill (GHC100)	2026-03-18 20:54:41
155	expense	Equipment	15.00	2026-03-19	agri_poultry_expense_54	Wheelbarrow	2026-03-20 20:48:31
156	expense	Equipment	10.00	2026-03-19	agri_poultry_expense_55	Spade	2026-03-20 20:48:31
139	income	Egg Sales	315.00	2026-03-20	agri_egg_sale_5	Egg sale: 7 crate @ 45 per unit - Buyer: HOPE	2026-03-20 20:39:12
140	income	Egg Sales	40.00	2026-03-20	agri_egg_sale_6	Egg sale: 1 crate @ 40 per unit - Buyer: Sister Mina	2026-03-20 20:39:41
141	expense	Other Expenses	1500.00	2026-03-20	agri_poultry_expense_40	Cement – 20 × 75	2026-03-20 20:48:29
142	expense	Other Expenses	100.00	2026-03-20	agri_poultry_expense_41	Transport	2026-03-20 20:48:29
143	expense	Other Expenses	1500.00	2026-03-20	agri_poultry_expense_42	Cement – 20 × 75	2026-03-20 20:48:29
144	expense	Other Expenses	190.00	2026-03-20	agri_poultry_expense_43	Plywood – 2 × 95	2026-03-20 20:48:29
145	expense	Other Expenses	100.00	2026-03-20	agri_poultry_expense_44	Transport	2026-03-20 20:48:30
146	expense	Other Expenses	100.00	2026-03-20	agri_poultry_expense_45	Food Transport	2026-03-20 20:48:30
147	expense	Other Expenses	510.00	2026-03-20	agri_poultry_expense_46	Wood	2026-03-20 20:48:30
148	expense	Other Expenses	80.00	2026-03-20	agri_poultry_expense_47	Ceiling Batten	2026-03-20 20:48:30
149	expense	Equipment	40.00	2026-03-20	agri_poultry_expense_48	Hammer	2026-03-20 20:48:30
150	expense	Equipment	75.00	2026-03-20	agri_poultry_expense_49	Chain Saw	2026-03-20 20:48:30
151	expense	Other Expenses	45.00	2026-03-20	agri_poultry_expense_50	Nails	2026-03-20 20:48:31
152	expense	Other Expenses	100.00	2026-03-20	agri_poultry_expense_51	Transport of Tank	2026-03-20 20:48:31
153	expense	Equipment	100.00	2026-03-20	agri_poultry_expense_52	Down Payment for Tank	2026-03-20 20:48:31
154	expense	Labor	50.00	2026-03-20	agri_poultry_expense_53	Hope the care taker	2026-03-20 20:48:31
157	expense	Other Expenses	200.00	2026-03-20	agri_poultry_expense_56	Water tanker water today	2026-03-20 20:51:16
171	expense	Other Expenses	300.00	2026-03-21	agri_poultry_expense_57	Filling of Water . Poly tank and Hired Container	2026-03-23 04:56:08
172	expense	Other Expenses	50.00	2026-03-21	agri_poultry_expense_58	Fueling of Gideons MoMo bike to the farms	2026-03-23 04:57:00
173	expense	Medication	80.00	2026-03-21	agri_poultry_expense_59	Multivitamins \nConsidiostat	2026-03-23 04:58:37
174	expense	Labor	1050.00	2026-03-21	agri_poultry_expense_60	Labour Cost for the Mason working on the floor	2026-03-23 04:59:53
175	expense	Other Expenses	1600.00	2026-03-23	agri_poultry_expense_61	Ghc75x 20bags of Cements\nThey are using it to build a store room	2026-03-23 05:00:59
188	expense	Labor	1010.00	2026-03-23	agri_poultry_expense_62	Part-Payment of the Poutry Farms to make it Ghc4000 , left with GHC1200 to finish it	2026-03-23 17:22:54
202	expense	Other Expenses	30.00	2026-03-24	agri_poultry_expense_63	30 to gideon for fuel in transporting saw dust	2026-03-24 11:31:11
203	income	Egg Sales	270.00	2026-03-24	agri_egg_sale_7	Egg sale: 6 crate @ 45 per unit - Buyer: HOPE SHOLA	2026-03-24 13:21:25
236	expense	Labor	1010.00	2026-03-25	agri_poultry_expense_64	Part-Payment of the Poutry Farms to make it Ghc5000 , left with GHC1000 per new payment arrangment	2026-03-26 15:52:41
225	income	Egg Sales	90.00	2026-03-26	agri_egg_sale_8	Egg sale: 2 crate @ 45 per unit - Buyer: HOPE SHOLA	2026-03-26 13:51:12
226	income	Egg Sales	45.00	2026-03-26	agri_egg_sale_9	Egg sale: 1 tray @ 45 per unit - Buyer: GIDEON NYARKO	2026-03-26 13:51:34
258	expense	Other Expenses	2675.00	2026-03-27	agri_poultry_expense_65	1.\tRoofing sheets – GHS 1,200\n\t2.\t4-inch nails – GHS 50\n\t3.\tQuarter rods – GHS 30\n\t4.\tRoofing nails – GHS 100\n\t5.\tFert – GHS 50\n\t6.\tArranged quarter rods – GHS 230\n\t7.\tTransport – GHS 100\n\t8.\tP	2026-03-27 16:40:53
259	expense	Other Expenses	15000.00	2026-03-27	agri_poultry_expense_66	Day Old Chick's\n620 Pieces	2026-03-27 16:42:56
265	expense	Housing	400.00	2026-03-28	agri_payroll_salary_3	Salary: Hope Shola Ade — Jan 2026	2026-03-28 09:08:12
266	expense	Labor	500.00	2026-03-28	agri_payroll_salary_2	Salary: Hope Shola Ade — Feb 2026	2026-03-28 09:08:15
267	expense	Labor	500.00	2026-03-28	agri_payroll_salary_1	Salary: Hope Shola Ade — Mar 2026	2026-03-28 09:08:19
353	income	Egg Sales	90.00	2026-03-28	agri_egg_sale_10	Egg sale: 2 tray @ 45 per unit - Buyer: Ms Eunice	2026-03-29 23:42:35
354	income	Egg Sales	45.00	2026-03-28	agri_egg_sale_11	Egg sale: 1 crate @ 45 per unit - Buyer: Eric the Mason	2026-03-29 23:43:40
355	income	Egg Sales	225.00	2026-03-28	agri_egg_sale_12	Egg sale: 5 crate @ 45 per unit - Buyer: Hope Shola	2026-03-29 23:45:44
374	expense	Other Expenses	20.00	2026-03-29	agri_poultry_expense_78	Charcoal	2026-03-30 20:17:02
366	expense	Medication	283.00	2026-03-30	agri_poultry_expense_70	Glucose : 100\nDisinfectant :180\nSyringe: 3	2026-03-30 19:55:48
367	expense	Labor	1000.00	2026-03-30	agri_poultry_expense_71	This Makes Ghc6000 since they started working	2026-03-30 19:56:37
368	expense	Equipment	250.00	2026-03-30	agri_poultry_expense_72	FOR THE COST OF MAKING THE SHELVES FOR THE CHICKS AND THEN 50 for Nails for the roof	2026-03-30 20:02:34
369	expense	Other Expenses	9680.00	2026-03-30	agri_poultry_expense_73	Order for 400 More chicks	2026-03-30 20:04:22
372	expense	Medication	150.00	2026-03-30	agri_poultry_expense_76	Last Medication before laying	2026-03-30 20:13:43
373	expense	Medication	70.00	2026-03-30	agri_poultry_expense_77	Othopsy at the very clinic	2026-03-30 20:14:47
474	income	Egg Sales	45.00	2026-04-02	agri_egg_sale_15	Egg sale: 1 crate @ 45 per unit - Buyer: Sister Mina	2026-04-06 07:49:27
473	income	Egg Sales	225.00	2026-04-03	agri_egg_sale_14	Egg sale: 5 crate @ 45 per unit - Buyer: Hope SHOLA	2026-04-06 07:36:33
461	expense	Other Expenses	500.00	2026-04-04	agri_poultry_expense_80	Gave him 500 out of 1500 which is intended to cover for the cost of the Roofing of the Store House at the poultry	2026-04-04 20:05:26
472	income	Egg Sales	855.00	2026-04-05	agri_egg_sale_13	Egg sale: 19 crate @ 45 per unit - Buyer: Market Woman	2026-04-06 07:35:47
